experiment_id,temperature,pressure ,flow_rate ,catalyst_amount,conversion,selectivity 
1,190-290,5,15.8778626,4,86.025,72.425
2,190-290,5,15.8778626,4,89.95,81.368
3,190-290,5,15.8778626,4,98.128,95.128
4,190-290,40,6.106870229,4,100,100
5,190-290,40,12.21374046,4,100,100
6,190-290,40,15.8778626,4,100,100
7,190-290,40,18.32061069,4,100,100
8,190-290,40,21.98473282,4,100,98.396
9,190-290,5,15.8778626,4,89.95,81.368
10,190-290,10,15.8778626,4,100,99.2
11,190-290,20,15.8778626,4,99.5,99.2
12,190-290,30,15.8778626,4,99.9,99.2
13,190-290,40,15.8778626,4,100,100
14,190-270,5,18.32061069,4,87,82.823
15,190-270,7.5,18.32061069,4,94.18,90.539
16,190-270,10,18.32061069,4,94.57,90.655
17,190-270,15,18.32061069,4,96.53,93.993
18,190-270,5,24.42748092,4,83.38,74.065
19,190-270,7.5,24.42748092,4,90.07,84.932
20,190-270,10,24.42748092,4,93.16,89.599
21,190-270,15,24.42748092,4,94.65,91.275
22,190-270,5,27.48091603,4,81.63,76.548
23,190-270,7.5,27.48091603,4,83.37,79.716
24,190-270,10,27.48091603,4,90.08,83.191
25,190-270,15,27.48091603,4,90.97,84.23
26,190-290,5,2839.694656,620,86.85,73.895
27,190-290,7.5,2839.694656,620,93.15,90.59
28,190-290,8.5,2839.694656,620,96.268,92.536
29,190-290,10,2839.694656,620,99.31,98.8
30,190-290,15,2839.694656,620,99.38,99.29
31,190-290,20,2839.694656,620,99.8,99.8
32,190-290,5,3786.259542,620,76.714,54.818
33,190-290,7.5,3786.259542,620,90.264,80.86
34,190-290,8.5,3786.259542,620,91.997,83.994
35,190-290,10,3786.259542,620,94.539,89.284
36,190-290,15,3786.259542,620,99.24,99.24
37,190-290,20,3786.259542,620,100,100
38,190-290,5,4259.541985,620,65.29,41.866
39,190-290,7.5,4259.541985,620,77.6,56.728
40,190-290,8.5,4259.541985,620,81.82,63.644
41,190-290,10,4259.541985,620,92.68,88.41
42,190-290,15,4259.541985,620,97.63,95.226
43,190-290,20,4259.541985,620,99.76,99.573
